Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of protein targeting to membrane (GO:0090314)	3/24	3.2280808026285865e-05	0.0005610404434968482	0	0	58.096209912536445	600.7750959498147	PRNP;KCNB1;FYN
GO_Biological_Process_2021	negative regulation of neuron apoptotic process (GO:0043524)	4/71	3.470331957366553e-05	0.0005913173472453988	0	0	24.72761194029851	253.91981574966715	CLN3;PTK2B;CX3CL1;CPEB4
GO_Biological_Process_2021	regulation of calcium ion import (GO:0090279)	3/25	3.6615484374028064e-05	0.0006119010754044305	0	0	55.45269016697589	566.4514113813482	PRNP;GRM6;FYN
GO_Biological_Process_2021	dendritic spine organization (GO:0097061)	3/27	4.6394773151070445e-05	0.0007606992050618909	0	0	50.826530612244895	507.1635776746594	PRNP;FYN;SHANK3
GO_Biological_Process_2021	regulation of calcineurin-NFAT signaling cascade (GO:0070884)	3/28	5.1866896435765375e-05	0.000819496963685093	0	0	48.79102040816326	481.412694374868	PRNP;HOMER2;HOMER3
GO_Biological_Process_2021	regulation of postsynapse organization (GO:0099175)	3/28	5.1866896435765375e-05	0.000819496963685093	0	0	48.79102040816326	481.412694374868	HOMER1;SHANK3;CDK5R1
GO_Biological_Process_2021	axon development (GO:0061564)	4/79	5.284753892273375e-05	0.0008200805593545648	0	0	22.08111111111111	217.45697739261945	APP;GRM7;PLP1;CDK5R1
GO_Biological_Process_2021	regulation of neuronal synaptic plasticity (GO:0048168)	3/29	5.7745499364169614e-05	0.0008651868784045413	0	0	46.91208791208791	457.8368868425277	APP;CLN3;GRIK2
GO_Biological_Process_2021	regulation of protein targeting to membrane (GO:0090313)	3/29	5.7745499364169614e-05	0.0008651868784045413	0	0	46.91208791208791	457.8368868425277	PRNP;KCNB1;FYN
GO_Biological_Process_2021	regulation of protein localization to membrane (GO:1905475)	3/30	6.404406787341007e-05	0.0009167585223386254	0	0	45.17233560090703	436.1813238723369	NECAB2;CLN3;FYN
GO_Biological_Process_2021	cannabinoid signaling pathway (GO:0038171)	2/5	6.596944588909246e-05	0.0009167585223386254	0	0	265.93333333333334	2559.9590632869204	DAGLA;DAGLB
GO_Biological_Process_2021	regulation of chloride transport (GO:2001225)	2/5	6.596944588909246e-05	0.0009167585223386254	0	0	265.93333333333334	2559.9590632869204	PRNP;GRM5
GO_Biological_Process_2021	positive regulation of long-term synaptic depression (GO:1900454)	2/5	6.596944588909246e-05	0.0009167585223386254	0	0	265.93333333333334	2559.9590632869204	GRID2;KCNB1
GO_Biological_Process_2021	central nervous system development (GO:0007417)	6/268	6.646235547449183e-05	0.0009167585223386254	0	0	9.800531032193827	94.27008149826342	GRIN2A;GRIK1;GRIN2C;GRIN2B;GRIN1;CDK5R1
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	7/404	7.96084141848706e-05	0.0010809329988539	0	0	7.660621326616289	72.3039375822272	NCSTN;PTK2B;FYN;PLCB1;GRIN2B;GRIN1;CDK5R1
GO_Biological_Process_2021	neuron projection development (GO:0031175)	5/171	8.091399035531036e-05	0.0010817578095194	0	0	12.67751858497821	119.44914977357053	APP;GRM7;PLP1;SHANK3;CDK5R1
GO_Biological_Process_2021	positive regulation of supramolecular fiber organization (GO:1902905)	4/91	9.18697046873194e-05	0.001209617778383	0	0	19.023946360153257	176.83023027669634	APP;PTK2B;CX3CL1;CDK5R1
GO_Biological_Process_2021	protein insertion into membrane (GO:0051205)	3/34	9.370398816427918e-05	0.0012153547121605	0	0	39.335747202106646	364.8536019147875	APP;PRNP;GRIN3B
GO_Biological_Process_2021	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	4/92	9.586184183190752e-05	0.001225057949293	0	0	18.806818181818183	174.01201387866888	APP;PRNP;PTK2B;FYN
GO_Biological_Process_2021	regulation of anion channel activity (GO:0010359)	2/6	9.87896675507094e-05	0.001244177117414	0	0	199.44	1839.338897803755	PRNP;GRM5
GO_Biological_Process_2021	negative regulation of neuron death (GO:1901215)	4/98	0.00012251440089834845	0.0015209287768666	0	0	17.601063829787233	158.53774500188584	CLN3;PTK2B;SULT1A3;CPEB4
GO_Biological_Process_2021	positive regulation of protein localization to membrane (GO:1905477)	4/101	0.00013768379223272765	0.0016664952274977	0	0	17.054123711340207	151.62055427314	NECAB2;PRNP;KCNB1;FYN
GO_Biological_Process_2021	negative regulation of cytoplasmic translation (GO:2000766)	2/7	0.00013807555394687994	0.0016664952274977	0	0	159.544	1417.980729295425	FMR1;CPEB4
GO_Biological_Process_2021	regulation of protein tyrosine kinase activity (GO:0061097)	3/39	0.0001418023439246563	0.001688030642062	0	0	33.863945578231295	300.07100945534955	APP;PRNP;GRM5
GO_Biological_Process_2021	positive regulation of protein tyrosine kinase activity (GO:0061098)	3/42	0.0001771488175005084	0.0020803016541613	0	0	31.25431711145997	269.9910560118697	PRNP;GRM5;FYN
GO_Biological_Process_2021	dendritic spine maintenance (GO:0097062)	2/8	0.00018379456792760984	0.0021015457832775	0	0	132.94666666666666	1143.5662661624317	PRNP;FYN
GO_Biological_Process_2021	excitatory synapse assembly (GO:1904861)	2/8	0.00018379456792760984	0.0021015457832775	0	0	132.94666666666666	1143.5662661624317	GRID2;SHANK3
GO_Biological_Process_2021	action potential (GO:0001508)	3/45	0.000217766435256726	0.0024576497693259	0	0	29.017492711370263	244.67803662799332	CLN3;KCNB1;GNAQ
GO_Biological_Process_2021	regulation of interleukin-2 production (GO:0032663)	3/48	0.0002639775248230721	0.0029409803727083	0	0	27.07891156462585	223.1206613800885	PRNP;HOMER2;HOMER3
GO_Biological_Process_2021	negative regulation of cell projection organization (GO:0031345)	3/49	0.0002806787724783085	0.0030874664972613	0	0	26.48890860692103	216.63423333912877	PRNP;FYN;GRIN2B
GO_Biological_Process_2021	neuron projection maintenance (GO:1990535)	2/10	0.00029440241859604355	0.0031584654538266	0	0	99.7	810.6171266936067	APP;PRNP
GO_Biological_Process_2021	neuron remodeling (GO:0016322)	2/10	0.00029440241859604355	0.0031584654538266	0	0	99.7	810.6171266936067	APP;CX3CL1
GO_Biological_Process_2021	synapse organization (GO:0050808)	4/126	0.00032176118055581005	0.0034098837305243	0	0	13.542349726775956	108.90352683760152	APP;GRM5;SHANK3;CX3CL1
GO_Biological_Process_2021	regulation of long-term neuronal synaptic plasticity (GO:0048169)	2/11	0.00035922676978951407	0.0037610609993625	0	0	88.61777777777777	702.8769289105478	APP;SHANK3
GO_Biological_Process_2021	positive regulation of signal transduction (GO:0009967)	5/252	0.0004893262108628863	0.0049887033632839	0	0	8.485226979067965	64.67848306646141	NECAB2;HOMER1;PTK2B;SHANK3;GRIN1
GO_Biological_Process_2021	cellular component maintenance (GO:0043954)	2/13	0.0005077559934978225	0.0049887033632839	0	0	72.49818181818182	549.935650796121	PRNP;FYN
GO_Biological_Process_2021	regulation of short-term neuronal synaptic plasticity (GO:0048172)	2/13	0.0005077559934978225	0.0049887033632839	0	0	72.49818181818182	549.935650796121	CLN3;GRIK2
GO_Biological_Process_2021	protein heterotetramerization (GO:0051290)	2/13	0.0005077559934978225	0.0049887033632839	0	0	72.49818181818182	549.935650796121	GRIN2B;GRIN1
GO_Biological_Process_2021	negative regulation of adenylate cyclase activity (GO:0007194)	2/13	0.0005077559934978225	0.0049887033632839	0	0	72.49818181818182	549.935650796121	GRM3;GRM2
GO_Biological_Process_2021	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	3/60	0.0005109258910613061	0.0049887033632839	0	0	21.36519871106337	161.93295159667136	GRM4;GRM7;GRM8
GO_Biological_Process_2021	amyloid precursor protein catabolic process (GO:0042987)	2/14	0.0005913970865463289	0.0054672773213697	0	0	66.45333333333333	493.94914691461696	CLN3;NCSTN
GO_Biological_Process_2021	negative regulation of cyclase activity (GO:0031280)	2/14	0.0005913970865463289	0.0054672773213697	0	0	66.45333333333333	493.94914691461696	GRM3;GRM2
GO_Biological_Process_2021	cellular copper ion homeostasis (GO:0006878)	2/14	0.0005913970865463289	0.0054672773213697	0	0	66.45333333333333	493.94914691461696	APP;PRNP
GO_Biological_Process_2021	neurotransmitter biosynthetic process (GO:0042136)	2/14	0.0005913970865463289	0.0054672773213697	0	0	66.45333333333333	493.94914691461696	DAGLA;DAGLB
GO_Biological_Process_2021	positive regulation of long-term synaptic potentiation (GO:1900273)	2/14	0.0005913970865463289	0.0054672773213697	0	0	66.45333333333333	493.94914691461696	APP;SHANK3
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	5/266	0.0006252493320550968	0.005719385995325	0	0	8.024374337653867	59.19869871694426	APP;PRNP;GRM5;FMR1;FYN
GO_Biological_Process_2021	positive regulation of cell death (GO:0010942)	3/66	0.0006757651049967128	0.006103128932224	0	0	19.3245869776482	141.0630115890288	PRNP;FYN;GRIN2B
GO_Biological_Process_2021	regulation of cytoplasmic translation (GO:2000765)	2/15	0.0006812468428374356	0.006103128932224	0	0	61.33846153846154	447.2546579916272	FMR1;CPEB4
GO_Biological_Process_2021	positive regulation of MAPK cascade (GO:0043410)	5/274	0.0007146601720554532	0.0063371396889407	0	0	7.782567428616626	56.37461023750599	NECAB2;APP;GRM4;PTK2B;CX3CL1
